,id,context,question,generated,Rouge-L,BERTScore,BLEURT,Self-BLEU
0,1,"THE flax was in full bloom. It had pretty little blue flowers, as delicate as the wings of a moth. The sun shone on it and the showers watered it. This was as good for the flax as it is for little children to be washed and then kissed by their mothers. They look much prettier for it, and so did the flax. ""People say that I look exceedingly well,"" said the flax, ""and that I am so fine and long that I shall make a beautiful piece of linen. How fortunate I am! It makes me so happy to know that something can be made of me. How the sunshine cheers me, and how sweet and refreshing is the rain! My happiness overpowers me! No one in the world can feel happier than I.""",What color are the flax's flowers?,"1. What is the flax in full bloom?
2. What is the sun shining on?
3. What is the showers watering?
4. What is the sunshine cheering?
5. What is the rain refreshing?
6. What is the flax saying?
7. What is the flax saying about its happiness?","[0.39999999999999997, 0.30769230769230765, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.39999999999999997]","[0.9173905, 0.8752137, 0.88041276, 0.87239236, 0.88659054, 0.91681534, 0.90547454]","[0.4742929935455322, 0.25663381814956665, 0.2864477038383484, 0.2652708888053894, 0.243230402469635, 0.39229243993759155, 0.3487434387207031]","[0.2777619034011791, 0.17567205239427922, 0.21711852081087685, 0.21711852081087685, 0.21711852081087685, 0.7952707287670506, 0.4180134288483488]"
1,2,"THE flax was in full bloom. It had pretty little blue flowers, as delicate as the wings of a moth. The sun shone on it and the showers watered it. This was as good for the flax as it is for little children to be washed and then kissed by their mothers. They look much prettier for it, and so did the flax. ""People say that I look exceedingly well,"" said the flax, ""and that I am so fine and long that I shall make a beautiful piece of linen. How fortunate I am! It makes me so happy to know that something can be made of me. How the sunshine cheers me, and how sweet and refreshing is the rain! My happiness overpowers me! No one in the world can feel happier than I.""",What made the flax look prettier?,"1. What is the name of the plant?
2. When did it bloom?
3. Where did it bloom?
4. Which part of the plant is described as delicate?
5. Which part of the plant is described as being like the wings of a moth?
6. Who is the plant talking about?
7. Why is the plant happy?
8. How does the sunshine make the plant feel?
9. How does the rain make the plant feel?
10. How does the plant describe its happiness?","[0.28571428571428575, 0.0, 0.0, 0.13333333333333333, 0.09523809523809522, 0.16666666666666666, 0.1818181818181818, 0.14285714285714288, 0.14285714285714288, 0.15384615384615383]","[0.87750524, 0.90227973, 0.9020047, 0.877044, 0.87525564, 0.8749934, 0.897311, 0.896621, 0.89703214, 0.8807622]","[0.2891009747982025, 0.245097815990448, 0.22662034630775452, 0.3207511305809021, 0.2555105686187744, 0.23020651936531067, 0.3025783896446228, 0.2994256615638733, 0.28717106580734253, 0.2801362872123718]","[0.13747081017605653, 0.668740304976422, 0.668740304976422, 0.7825422900366437, 0.4682568791024402, 0.17567205239427922, 0.21711852081087685, 0.5969491792019646, 0.5969491792019646, 0.17286039232097053]"
2,3,"THE flax was in full bloom. It had pretty little blue flowers, as delicate as the wings of a moth. The sun shone on it and the showers watered it. This was as good for the flax as it is for little children to be washed and then kissed by their mothers. They look much prettier for it, and so did the flax. ""People say that I look exceedingly well,"" said the flax, ""and that I am so fine and long that I shall make a beautiful piece of linen. How fortunate I am! It makes me so happy to know that something can be made of me. How the sunshine cheers me, and how sweet and refreshing is the rain! My happiness overpowers me! No one in the world can feel happier than I.""",What will be made from the flax?,"1. What is the flax in full bloom?
2. What is the sun shining on?
3. What is the showers watering?
4. What is the flax saying?
5. What is the flax saying about its appearance?
6. What is the flax saying about its happiness?
7. What is the flax saying about its happiness?","[0.39999999999999997, 0.30769230769230765, 0.3333333333333333, 0.5, 0.39999999999999997, 0.39999999999999997, 0.39999999999999997]","[0.89407563, 0.8681419, 0.88201153, 0.9108555, 0.89610076, 0.8871831, 0.8871831]","[0.4676542282104492, 0.31097593903541565, 0.34165143966674805, 0.5151785016059875, 0.47593367099761963, 0.3819916844367981, 0.3819916844367981]","[0.2777619034011791, 0.17567205239427922, 0.21711852081087685, 0.7952707287670506, 0.7506238537503395, 1.0, 1.0]"
3,4,"THE flax was in full bloom. It had pretty little blue flowers, as delicate as the wings of a moth. The sun shone on it and the showers watered it. This was as good for the flax as it is for little children to be washed and then kissed by their mothers. They look much prettier for it, and so did the flax. ""People say that I look exceedingly well,"" said the flax, ""and that I am so fine and long that I shall make a beautiful piece of linen. How fortunate I am! It makes me so happy to know that something can be made of me. How the sunshine cheers me, and how sweet and refreshing is the rain! My happiness overpowers me! No one in the world can feel happier than I.""",How does the flax feel?,"1. What is the flax in full bloom?
2. How does the sun shine on it?
3. How does the shower water it?
4. How does the flax look for being washed and kissed by its mother?
5. How does the flax feel about being made into linen?
6. How does the sunshine and the rain make the flax feel?
7. How does the flax feel about being the happiest thing in the world?","[0.3076923076923077, 0.5, 0.5454545454545454, 0.4444444444444444, 0.6666666666666666, 0.625, 0.5555555555555556]","[0.90593934, 0.8901055, 0.8985605, 0.90826374, 0.939724, 0.9518155, 0.9201649]","[0.437114953994751, 0.32371625304222107, 0.2808353900909424, 0.3200223445892334, 0.4863419532775879, 0.5753377676010132, 0.5083523988723755]","[0.04802616576551228, 0.17286039232097053, 0.17820132316770917, 0.2044800736021839, 0.5900468726392808, 0.15690219308813547, 0.48415247130346006]"
4,5,"""Ah, yes, no doubt,"" said the fern, ""but you do not know the world yet as well as I do, for my sticks are knotty""; and then it sang quite mournfully:           ""Snip, snap, snurre,            Basse lurre.            The song is ended."" ""No, it is not ended,"" said the flax. ""To-morrow the sun will shine or the rain descend. I feel that I am growing. I feel that I am in full blossom. I am the happiest of all creatures, for I may some day come to something.""",Why does the fern sing mournfully?,"1. What is the fern saying?
2. When did the fern say this?
3. Where did the fern say this?
4. Which part of the fern is knotty?
5. Who is the fern talking to?
6. Why is the fern singing?
7. How does the fern feel?
8. How does the flax feel?
9. What is the fern saying about the sun?
10. What is the fern saying about the rain?
11. What is the fern saying about its happiness?","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.30769230769230765, 0.3333333333333333, 0.5454545454545454, 0.5454545454545454, 0.3636363636363636, 0.28571428571428575, 0.28571428571428575, 0.28571428571428575]","[0.9274722, 0.94325346, 0.9428081, 0.9175154, 0.9329806, 0.96335506, 0.938127, 0.90585023, 0.93142587, 0.93011165, 0.9227325]","[0.5019351840019226, 0.43844443559646606, 0.37392371892929077, 0.30517518520355225, 0.36670374870300293, 0.569902777671814, 0.33727574348449707, 0.2532690167427063, 0.3919392228126526, 0.371677964925766, 0.3770875334739685]","[0.5410822690539396, 0.8091067115702212, 0.8091067115702212, 0.06985342056580097, 0.17567205239427922, 0.21711852081087685, 0.28574404296988, 0.25406637407730737, 0.7506238537503395, 0.7506238537503395, 0.6104735835807844]"
5,6,"Well, one day some people came, who took hold of the flax and pulled it up by the roots, which was very painful. Then it was laid in water, as if it were to be drowned, and after that placed near a fire, as if it were to be roasted. All this was very shocking. ""We cannot expect to be happy always,"" said the flax. ""By experiencing evil as well as good we become wise."" And certainly there was plenty of evil in store for the flax. It was steeped, and roasted, and broken, and combed. Indeed, it scarcely knew what was done to it. At last it was put on the spinning wheel. ""Whir, whir,"" went the wheel, so quickly that the flax could not collect its thoughts. ""Well, I have been very happy,"" it thought in the midst of its pain, ""and must be contented with the past."" And contented it remained, till it was put on the loom and became a beautiful piece of white linen. All the flax, even to the last stalk, was used in making this one piece.",What did the flax think when it was put on the spinning wheel?,"1. What was the experience of the flax?
2. When did the people come?
3. Where did they take the flax?
4. Which part of the flax was taken?
5. Who took hold of the flax?
6. Why did the people take hold of the flax?
7. How was the flax treated?
8. What was the outcome of the flax's experience?
9. What was the flax's reaction to its experience?
10. How was the flax used?","[0.2857142857142857, 0.2222222222222222, 0.3157894736842105, 0.3, 0.21052631578947367, 0.27272727272727276, 0.2222222222222222, 0.27272727272727276, 0.27272727272727276, 0.2222222222222222]","[0.9059588, 0.88816655, 0.90901387, 0.8957565, 0.89930654, 0.9098165, 0.91245365, 0.9041186, 0.9145034, 0.9084996]","[0.5097264051437378, 0.26430463790893555, 0.36501502990722656, 0.34290677309036255, 0.3826282024383545, 0.44481217861175537, 0.43197768926620483, 0.48012542724609375, 0.5003784894943237, 0.44334840774536133]","[0.392814650900513, 0.21711852081087685, 0.18575057999133598, 0.1561969968460128, 0.6147881529512643, 0.5410822690539396, 0.537284965911771, 0.23810642778258656, 0.2136435031981171, 0.537284965911771]"
6,7,"Well, one day some people came, who took hold of the flax and pulled it up by the roots, which was very painful. Then it was laid in water, as if it were to be drowned, and after that placed near a fire, as if it were to be roasted. All this was very shocking. ""We cannot expect to be happy always,"" said the flax. ""By experiencing evil as well as good we become wise."" And certainly there was plenty of evil in store for the flax. It was steeped, and roasted, and broken, and combed. Indeed, it scarcely knew what was done to it. At last it was put on the spinning wheel. ""Whir, whir,"" went the wheel, so quickly that the flax could not collect its thoughts. ""Well, I have been very happy,"" it thought in the midst of its pain, ""and must be contented with the past."" And contented it remained, till it was put on the loom and became a beautiful piece of white linen. All the flax, even to the last stalk, was used in making this one piece.",How much of the flax was used to make one piece of linen?,"1. What was the experience of the flax?
2. When did the people come to take hold of the flax?
3. Where did the people come from?
4. Which people took hold of the flax?
5. Who experienced the pain of having the flax taken hold of?
6. Why did the people take hold of the flax?
7. How did the flax experience the pain of being taken hold of?
8. What was the flax's reaction to the pain it experienced?
9. How did the flax feel about being used for the linen?
10. What was the outcome of the flax's experience?","[0.2857142857142857, 0.24999999999999994, 0.10526315789473684, 0.3, 0.33333333333333337, 0.27272727272727276, 0.32, 0.24999999999999994, 0.41666666666666663, 0.27272727272727276]","[0.8993028, 0.8942964, 0.86930543, 0.8982785, 0.89586073, 0.90131193, 0.884567, 0.8820698, 0.9061512, 0.8897254]","[0.41141611337661743, 0.4391300082206726, 0.3457340598106384, 0.42537349462509155, 0.37391263246536255, 0.43255615234375, 0.3815377950668335, 0.3550862669944763, 0.5616560578346252, 0.4013828635215759]","[0.392814650900513, 0.6493358309501979, 0.3768499164492419, 0.5410822690539396, 0.35084396956386854, 0.6580370064762462, 0.49616830003403634, 0.17033186037639284, 0.24384183193426084, 0.2274970702024019]"
7,8,"""Well, this is quite wonderful,"" said the flax. ""I could not have believed that I should be so favored by fortune. The fern was not wrong when it sang,          'Snip, snap, snurre,           Basse lurre.'  But the song is not ended yet, I am sure. It is only just beginning. How wonderful it is that, after all I have suffered, I am made something of at last! I am the luckiest person in the world--so strong and fine. And how white and long I am! This is far better than being a mere plant and bearing flowers. Then I had no attention, nor any water unless it rained. Now I am watched and cared for. Every morning the maid turns me over, and I have a shower bath from the watering-pot every evening. Yes, and the clergyman's wife noticed me and said I was the best piece of linen in the whole parish. I cannot be happier than I am now.""",How does the flax feel about being made into linen?,"1. What is the name of the flax?
2. When did the flax realize it was being favored by fortune?
3. Where did the flax realize it was being favored by fortune?
4. Which fern sang the song ""Snip, snap, snurre, Basse lurre""?
5. Who is the clergyman's wife?
6. Why did the clergyman's wife notice the flax?
7. How does the flax feel about being made something of at last?","[0.22222222222222224, 0.28571428571428564, 0.28571428571428564, 0.10000000000000002, 0.125, 0.2105263157894737, 0.7272727272727272]","[0.8890306, 0.89469916, 0.8934226, 0.8153585, 0.87760127, 0.8970398, 0.9498486]","[0.43272680044174194, 0.3926272392272949, 0.39117854833602905, 0.16987794637680054, 0.22391174733638763, 0.3393646478652954, 0.5573949813842773]","[0.13747081017605653, 0.9036020036098448, 0.9036020036098448, 0.014628063653657535, 0.31850355294022703, 0.4111336169005197, 0.04131551591106297]"
8,9,"""Well, this is quite wonderful,"" said the flax. ""I could not have believed that I should be so favored by fortune. The fern was not wrong when it sang,          'Snip, snap, snurre,           Basse lurre.'  But the song is not ended yet, I am sure. It is only just beginning. How wonderful it is that, after all I have suffered, I am made something of at last! I am the luckiest person in the world--so strong and fine. And how white and long I am! This is far better than being a mere plant and bearing flowers. Then I had no attention, nor any water unless it rained. Now I am watched and cared for. Every morning the maid turns me over, and I have a shower bath from the watering-pot every evening. Yes, and the clergyman's wife noticed me and said I was the best piece of linen in the whole parish. I cannot be happier than I am now.""",What does the maid do to the flax every morning?,"1. What is the name of the flax?
2. When did the flax realize it was being made into something special?
3. Where did the flax realize it was being made into something special?
4. Which part of the flax realized it was being made into something special?
5. Who noticed the flax and said it was the best piece of linen in the whole parish?
6. Why did the clergyman's wife notice the flax and say it was the best piece of linen in the whole parish?
7. How does the flax feel about being made into something special?","[0.4444444444444445, 0.1818181818181818, 0.1818181818181818, 0.17391304347826086, 0.14814814814814817, 0.18749999999999997, 0.28571428571428564]","[0.8918561, 0.8891097, 0.88808304, 0.8790707, 0.882969, 0.89013976, 0.8939049]","[0.36412757635116577, 0.3744078278541565, 0.3614088296890259, 0.3384173512458801, 0.3449879288673401, 0.399300217628479, 0.3854750990867615]","[0.09717028343213063, 0.912167909070388, 0.912167909070388, 0.6162607099729586, 0.7160350546947921, 0.5683565265173782, 0.4317280873295659]"
9,10,"""Well, this is quite wonderful,"" said the flax. ""I could not have believed that I should be so favored by fortune. The fern was not wrong when it sang,          'Snip, snap, snurre,           Basse lurre.'  But the song is not ended yet, I am sure. It is only just beginning. How wonderful it is that, after all I have suffered, I am made something of at last! I am the luckiest person in the world--so strong and fine. And how white and long I am! This is far better than being a mere plant and bearing flowers. Then I had no attention, nor any water unless it rained. Now I am watched and cared for. Every morning the maid turns me over, and I have a shower bath from the watering-pot every evening. Yes, and the clergyman's wife noticed me and said I was the best piece of linen in the whole parish. I cannot be happier than I am now.""",What did the clergyman's wife say about the linen?,"1. What is the name of the flax?
2. When did the flax realize it was being favored by fortune?
3. Where did the flax realize it was being favored by fortune?
4. Which fern sang the song ""Snip, snap, snurre, Basse lurre""?
5. Who is the clergyman's wife?
6. Why did the clergyman's wife notice the flax?
7. How does the flax feel about being made something of at last?","[0.33333333333333326, 0.1904761904761905, 0.1904761904761905, 0.10000000000000002, 0.5, 0.631578947368421, 0.1818181818181818]","[0.87513256, 0.8745788, 0.87303704, 0.8196917, 0.9346159, 0.94720954, 0.8864091]","[0.33833348751068115, 0.2376297414302826, 0.24635979533195496, 0.2078947275876999, 0.3958219289779663, 0.4214280843734741, 0.2920898199081421]","[0.13747081017605653, 0.9036020036098448, 0.9036020036098448, 0.014628063653657535, 0.31850355294022703, 0.4111336169005197, 0.04131551591106297]"
