,context,question,generated,Rouge-L,BERTScore,BLEURT,Self-BLEU
0,"THE flax was in full bloom. It had pretty little blue flowers, as delicate as the wings of a moth. The sun shone on it and the showers watered it. This was as good for the flax as it is for little children to be washed and then kissed by their mothers. They look much prettier for it, and so did the flax. ""People say that I look exceedingly well,"" said the flax, ""and that I am so fine and long that I shall make a beautiful piece of linen. How fortunate I am! It makes me so happy to know that something can be made of me. How the sunshine cheers me, and how sweet and refreshing is the rain! My happiness overpowers me! No one in the world can feel happier than I.""",What color are the flax's flowers?,"What are the flowers like?, What does the sun do to the flax?, How does the flax feel about being able to make linen?","[0.6666666666666666, 0.39999999999999997, 0.2222222222222222]","[0.9133235, 0.918806, 0.8922184]","[0.5001863837242126, 0.40770208835601807, 0.31972837448120117]","[0.03258798048281462, 0.07936880926086218, 0.053863663688318665]"
1,"THE flax was in full bloom. It had pretty little blue flowers, as delicate as the wings of a moth. The sun shone on it and the showers watered it. This was as good for the flax as it is for little children to be washed and then kissed by their mothers. They look much prettier for it, and so did the flax. ""People say that I look exceedingly well,"" said the flax, ""and that I am so fine and long that I shall make a beautiful piece of linen. How fortunate I am! It makes me so happy to know that something can be made of me. How the sunshine cheers me, and how sweet and refreshing is the rain! My happiness overpowers me! No one in the world can feel happier than I.""",What made the flax look prettier?,"What are the flowers like?, What does the sun do to the flax?, How does the flax feel about being able to make linen?","[0.3636363636363636, 0.42857142857142855, 0.23529411764705885]","[0.8872296, 0.91341394, 0.8968851]","[0.2713240683078766, 0.36548328399658203, 0.3099225163459778]","[0.03258798048281462, 0.07936880926086218, 0.053863663688318665]"
2,"THE flax was in full bloom. It had pretty little blue flowers, as delicate as the wings of a moth. The sun shone on it and the showers watered it. This was as good for the flax as it is for little children to be washed and then kissed by their mothers. They look much prettier for it, and so did the flax. ""People say that I look exceedingly well,"" said the flax, ""and that I am so fine and long that I shall make a beautiful piece of linen. How fortunate I am! It makes me so happy to know that something can be made of me. How the sunshine cheers me, and how sweet and refreshing is the rain! My happiness overpowers me! No one in the world can feel happier than I.""",What will be made from the flax?,"What are the flowers like?, What does the sun do to the flax?, How does the flax feel about being able to make linen?","[0.3333333333333333, 0.39999999999999997, 0.2222222222222222]","[0.8957064, 0.9161615, 0.90163416]","[0.38409608602523804, 0.46621519327163696, 0.42155778408050537]","[0.03258798048281462, 0.07936880926086218, 0.053863663688318665]"
3,"THE flax was in full bloom. It had pretty little blue flowers, as delicate as the wings of a moth. The sun shone on it and the showers watered it. This was as good for the flax as it is for little children to be washed and then kissed by their mothers. They look much prettier for it, and so did the flax. ""People say that I look exceedingly well,"" said the flax, ""and that I am so fine and long that I shall make a beautiful piece of linen. How fortunate I am! It makes me so happy to know that something can be made of me. How the sunshine cheers me, and how sweet and refreshing is the rain! My happiness overpowers me! No one in the world can feel happier than I.""",How does the flax feel?,"What are the flowers like?, What does the sun do to the flax?, How does the flax feel about being able to make linen?","[0.20000000000000004, 0.4615384615384615, 0.625]","[0.9223115, 0.94429487, 0.9314848]","[0.31437039375305176, 0.45055633783340454, 0.42875897884368896]","[0.03258798048281462, 0.07936880926086218, 0.053863663688318665]"
4,"""Ah, yes, no doubt,"" said the fern, ""but you do not know the world yet as well as I do, for my sticks are knotty""; and then it sang quite mournfully:           ""Snip, snap, snurre,            Basse lurre.            The song is ended."" ""No, it is not ended,"" said the flax. ""To-morrow the sun will shine or the rain descend. I feel that I am growing. I feel that I am in full blossom. I am the happiest of all creatures, for I may some day come to something.""",Why does the fern sing mournfully?,"Why does the fern think the flax does not know the world?, What does the flax think will happen the next day?","[0.4444444444444444, 0.25]","[0.9125156, 0.88939553]","[0.26744210720062256, 0.29829341173171997]","[0.051424016050282635, 0.05201772843458374]"
5,"Well, one day some people came, who took hold of the flax and pulled it up by the roots, which was very painful. Then it was laid in water, as if it were to be drowned, and after that placed near a fire, as if it were to be roasted. All this was very shocking. ""We cannot expect to be happy always,"" said the flax. ""By experiencing evil as well as good we become wise."" And certainly there was plenty of evil in store for the flax. It was steeped, and roasted, and broken, and combed. Indeed, it scarcely knew what was done to it. At last it was put on the spinning wheel. ""Whir, whir,"" went the wheel, so quickly that the flax could not collect its thoughts. ""Well, I have been very happy,"" it thought in the midst of its pain, ""and must be contented with the past."" And contented it remained, till it was put on the loom and became a beautiful piece of white linen. All the flax, even to the last stalk, was used in making this one piece.",What did the flax think when it was put on the spinning wheel?,"What did the people do to the flax?, How did the flax feel after it experienced evil?, What happened to the flax after it was put on the spinning wheel?, What happened to all the flax?","[0.380952380952381, 0.3636363636363637, 0.7692307692307693, 0.3157894736842105]","[0.9127768, 0.9273225, 0.9561947, 0.89874166]","[0.4564861059188843, 0.38771796226501465, 0.7243814468383789, 0.43527817726135254]","[0.1856293387426249, 0.07730551756939458, 0.13912311644176573, 0.2066123846159388]"
6,"Well, one day some people came, who took hold of the flax and pulled it up by the roots, which was very painful. Then it was laid in water, as if it were to be drowned, and after that placed near a fire, as if it were to be roasted. All this was very shocking. ""We cannot expect to be happy always,"" said the flax. ""By experiencing evil as well as good we become wise."" And certainly there was plenty of evil in store for the flax. It was steeped, and roasted, and broken, and combed. Indeed, it scarcely knew what was done to it. At last it was put on the spinning wheel. ""Whir, whir,"" went the wheel, so quickly that the flax could not collect its thoughts. ""Well, I have been very happy,"" it thought in the midst of its pain, ""and must be contented with the past."" And contented it remained, till it was put on the loom and became a beautiful piece of white linen. All the flax, even to the last stalk, was used in making this one piece.",How much of the flax was used to make one piece of linen?,"What did the people do to the flax?, How did the flax feel after it experienced evil?, What happened to the flax after it was put on the spinning wheel?, What happened to all the flax?","[0.1904761904761905, 0.27272727272727276, 0.23076923076923078, 0.21052631578947367]","[0.8999608, 0.8798556, 0.90273184, 0.9011768]","[0.45294636487960815, 0.35701990127563477, 0.4468485713005066, 0.4989703893661499]","[0.1856293387426249, 0.07730551756939458, 0.13912311644176573, 0.2066123846159388]"
7,"""Well, this is quite wonderful,"" said the flax. ""I could not have believed that I should be so favored by fortune. The fern was not wrong when it sang,          'Snip, snap, snurre,           Basse lurre.'  But the song is not ended yet, I am sure. It is only just beginning. How wonderful it is that, after all I have suffered, I am made something of at last! I am the luckiest person in the world--so strong and fine. And how white and long I am! This is far better than being a mere plant and bearing flowers. Then I had no attention, nor any water unless it rained. Now I am watched and cared for. Every morning the maid turns me over, and I have a shower bath from the watering-pot every evening. Yes, and the clergyman's wife noticed me and said I was the best piece of linen in the whole parish. I cannot be happier than I am now.""",How does the flax feel about being made into linen?,Why was the flax happy?,[0.26666666666666666],[0.9028385],[0.3704860210418701],[0]
8,"""Well, this is quite wonderful,"" said the flax. ""I could not have believed that I should be so favored by fortune. The fern was not wrong when it sang,          'Snip, snap, snurre,           Basse lurre.'  But the song is not ended yet, I am sure. It is only just beginning. How wonderful it is that, after all I have suffered, I am made something of at last! I am the luckiest person in the world--so strong and fine. And how white and long I am! This is far better than being a mere plant and bearing flowers. Then I had no attention, nor any water unless it rained. Now I am watched and cared for. Every morning the maid turns me over, and I have a shower bath from the watering-pot every evening. Yes, and the clergyman's wife noticed me and said I was the best piece of linen in the whole parish. I cannot be happier than I am now.""",What does the maid do to the flax every morning?,Why is the flax happy?,[0.26666666666666666],[0.90725935],[0.3203204572200775],[0]
9,"""Well, this is quite wonderful,"" said the flax. ""I could not have believed that I should be so favored by fortune. The fern was not wrong when it sang,          'Snip, snap, snurre,           Basse lurre.'  But the song is not ended yet, I am sure. It is only just beginning. How wonderful it is that, after all I have suffered, I am made something of at last! I am the luckiest person in the world--so strong and fine. And how white and long I am! This is far better than being a mere plant and bearing flowers. Then I had no attention, nor any water unless it rained. Now I am watched and cared for. Every morning the maid turns me over, and I have a shower bath from the watering-pot every evening. Yes, and the clergyman's wife noticed me and said I was the best piece of linen in the whole parish. I cannot be happier than I am now.""",What did the clergyman's wife say about the linen?,Why is the flax happy?,[0.13333333333333333],[0.8795971],[0.24406947195529938],[0]
