Unnamed: 0,id,context,question,generated
0,1,"THE flax was in full bloom. It had pretty little blue flowers, as delicate as the wings of a moth. The sun shone on it and the showers watered it. This was as good for the flax as it is for little children to be washed and then kissed by their mothers. They look much prettier for it, and so did the flax. ""People say that I look exceedingly well,"" said the flax, ""and that I am so fine and long that I shall make a beautiful piece of linen. How fortunate I am! It makes me so happy to know that something can be made of me. How the sunshine cheers me, and how sweet and refreshing is the rain! My happiness overpowers me! No one in the world can feel happier than I.""",What color are the flax's flowers?,"1. What is the flax in full bloom?
2. What is the sun shining on?
3. What is the showers watering?
4. What is the sunshine cheering?
5. What is the rain refreshing?
6. What is the flax saying?
7. What is the flax saying about its happiness?"
1,2,"THE flax was in full bloom. It had pretty little blue flowers, as delicate as the wings of a moth. The sun shone on it and the showers watered it. This was as good for the flax as it is for little children to be washed and then kissed by their mothers. They look much prettier for it, and so did the flax. ""People say that I look exceedingly well,"" said the flax, ""and that I am so fine and long that I shall make a beautiful piece of linen. How fortunate I am! It makes me so happy to know that something can be made of me. How the sunshine cheers me, and how sweet and refreshing is the rain! My happiness overpowers me! No one in the world can feel happier than I.""",What made the flax look prettier?,"1. What is the name of the plant?
2. When did it bloom?
3. Where did it bloom?
4. Which part of the plant is described as delicate?
5. Which part of the plant is described as being like the wings of a moth?
6. Who is the plant talking about?
7. Why is the plant happy?
8. How does the sunshine make the plant feel?
9. How does the rain make the plant feel?
10. How does the plant describe its happiness?"
2,3,"THE flax was in full bloom. It had pretty little blue flowers, as delicate as the wings of a moth. The sun shone on it and the showers watered it. This was as good for the flax as it is for little children to be washed and then kissed by their mothers. They look much prettier for it, and so did the flax. ""People say that I look exceedingly well,"" said the flax, ""and that I am so fine and long that I shall make a beautiful piece of linen. How fortunate I am! It makes me so happy to know that something can be made of me. How the sunshine cheers me, and how sweet and refreshing is the rain! My happiness overpowers me! No one in the world can feel happier than I.""",What will be made from the flax?,"1. What is the flax in full bloom?
2. What is the sun shining on?
3. What is the showers watering?
4. What is the flax saying?
5. What is the flax saying about its appearance?
6. What is the flax saying about its happiness?
7. What is the flax saying about its happiness?"
3,4,"THE flax was in full bloom. It had pretty little blue flowers, as delicate as the wings of a moth. The sun shone on it and the showers watered it. This was as good for the flax as it is for little children to be washed and then kissed by their mothers. They look much prettier for it, and so did the flax. ""People say that I look exceedingly well,"" said the flax, ""and that I am so fine and long that I shall make a beautiful piece of linen. How fortunate I am! It makes me so happy to know that something can be made of me. How the sunshine cheers me, and how sweet and refreshing is the rain! My happiness overpowers me! No one in the world can feel happier than I.""",How does the flax feel?,"1. What is the flax in full bloom?
2. How does the sun shine on it?
3. How does the shower water it?
4. How does the flax look for being washed and kissed by its mother?
5. How does the flax feel about being made into linen?
6. How does the sunshine and the rain make the flax feel?
7. How does the flax feel about being the happiest thing in the world?"
4,5,"""Ah, yes, no doubt,"" said the fern, ""but you do not know the world yet as well as I do, for my sticks are knotty""; and then it sang quite mournfully:           ""Snip, snap, snurre,            Basse lurre.            The song is ended."" ""No, it is not ended,"" said the flax. ""To-morrow the sun will shine or the rain descend. I feel that I am growing. I feel that I am in full blossom. I am the happiest of all creatures, for I may some day come to something.""",Why does the fern sing mournfully?,"1. What is the fern saying?
2. When did the fern say this?
3. Where did the fern say this?
4. Which part of the fern is knotty?
5. Who is the fern talking to?
6. Why is the fern singing?
7. How does the fern feel?
8. How does the flax feel?
9. What is the fern saying about the sun?
10. What is the fern saying about the rain?
11. What is the fern saying about its happiness?"
5,6,"Well, one day some people came, who took hold of the flax and pulled it up by the roots, which was very painful. Then it was laid in water, as if it were to be drowned, and after that placed near a fire, as if it were to be roasted. All this was very shocking. ""We cannot expect to be happy always,"" said the flax. ""By experiencing evil as well as good we become wise."" And certainly there was plenty of evil in store for the flax. It was steeped, and roasted, and broken, and combed. Indeed, it scarcely knew what was done to it. At last it was put on the spinning wheel. ""Whir, whir,"" went the wheel, so quickly that the flax could not collect its thoughts. ""Well, I have been very happy,"" it thought in the midst of its pain, ""and must be contented with the past."" And contented it remained, till it was put on the loom and became a beautiful piece of white linen. All the flax, even to the last stalk, was used in making this one piece.",What did the flax think when it was put on the spinning wheel?,"1. What was the experience of the flax?
2. When did the people come?
3. Where did they take the flax?
4. Which part of the flax was taken?
5. Who took hold of the flax?
6. Why did the people take hold of the flax?
7. How was the flax treated?
8. What was the outcome of the flax's experience?
9. What was the flax's reaction to its experience?
10. How was the flax used?"
6,7,"Well, one day some people came, who took hold of the flax and pulled it up by the roots, which was very painful. Then it was laid in water, as if it were to be drowned, and after that placed near a fire, as if it were to be roasted. All this was very shocking. ""We cannot expect to be happy always,"" said the flax. ""By experiencing evil as well as good we become wise."" And certainly there was plenty of evil in store for the flax. It was steeped, and roasted, and broken, and combed. Indeed, it scarcely knew what was done to it. At last it was put on the spinning wheel. ""Whir, whir,"" went the wheel, so quickly that the flax could not collect its thoughts. ""Well, I have been very happy,"" it thought in the midst of its pain, ""and must be contented with the past."" And contented it remained, till it was put on the loom and became a beautiful piece of white linen. All the flax, even to the last stalk, was used in making this one piece.",How much of the flax was used to make one piece of linen?,"1. What was the experience of the flax?
2. When did the people come to take hold of the flax?
3. Where did the people come from?
4. Which people took hold of the flax?
5. Who experienced the pain of having the flax taken hold of?
6. Why did the people take hold of the flax?
7. How did the flax experience the pain of being taken hold of?
8. What was the flax's reaction to the pain it experienced?
9. How did the flax feel about being used for the linen?
10. What was the outcome of the flax's experience?"
7,8,"""Well, this is quite wonderful,"" said the flax. ""I could not have believed that I should be so favored by fortune. The fern was not wrong when it sang,          'Snip, snap, snurre,           Basse lurre.'  But the song is not ended yet, I am sure. It is only just beginning. How wonderful it is that, after all I have suffered, I am made something of at last! I am the luckiest person in the world--so strong and fine. And how white and long I am! This is far better than being a mere plant and bearing flowers. Then I had no attention, nor any water unless it rained. Now I am watched and cared for. Every morning the maid turns me over, and I have a shower bath from the watering-pot every evening. Yes, and the clergyman's wife noticed me and said I was the best piece of linen in the whole parish. I cannot be happier than I am now.""",How does the flax feel about being made into linen?,"1. What is the name of the flax?
2. When did the flax realize it was being favored by fortune?
3. Where did the flax realize it was being favored by fortune?
4. Which fern sang the song ""Snip, snap, snurre, Basse lurre""?
5. Who is the clergyman's wife?
6. Why did the clergyman's wife notice the flax?
7. How does the flax feel about being made something of at last?"
8,9,"""Well, this is quite wonderful,"" said the flax. ""I could not have believed that I should be so favored by fortune. The fern was not wrong when it sang,          'Snip, snap, snurre,           Basse lurre.'  But the song is not ended yet, I am sure. It is only just beginning. How wonderful it is that, after all I have suffered, I am made something of at last! I am the luckiest person in the world--so strong and fine. And how white and long I am! This is far better than being a mere plant and bearing flowers. Then I had no attention, nor any water unless it rained. Now I am watched and cared for. Every morning the maid turns me over, and I have a shower bath from the watering-pot every evening. Yes, and the clergyman's wife noticed me and said I was the best piece of linen in the whole parish. I cannot be happier than I am now.""",What does the maid do to the flax every morning?,"1. What is the name of the flax?
2. When did the flax realize it was being made into something special?
3. Where did the flax realize it was being made into something special?
4. Which part of the flax realized it was being made into something special?
5. Who noticed the flax and said it was the best piece of linen in the whole parish?
6. Why did the clergyman's wife notice the flax and say it was the best piece of linen in the whole parish?
7. How does the flax feel about being made into something special?"
9,10,"""Well, this is quite wonderful,"" said the flax. ""I could not have believed that I should be so favored by fortune. The fern was not wrong when it sang,          'Snip, snap, snurre,           Basse lurre.'  But the song is not ended yet, I am sure. It is only just beginning. How wonderful it is that, after all I have suffered, I am made something of at last! I am the luckiest person in the world--so strong and fine. And how white and long I am! This is far better than being a mere plant and bearing flowers. Then I had no attention, nor any water unless it rained. Now I am watched and cared for. Every morning the maid turns me over, and I have a shower bath from the watering-pot every evening. Yes, and the clergyman's wife noticed me and said I was the best piece of linen in the whole parish. I cannot be happier than I am now.""",What did the clergyman's wife say about the linen?,"1. What is the name of the flax?
2. When did the flax realize it was being favored by fortune?
3. Where did the flax realize it was being favored by fortune?
4. Which fern sang the song ""Snip, snap, snurre, Basse lurre""?
5. Who is the clergyman's wife?
6. Why did the clergyman's wife notice the flax?
7. How does the flax feel about being made something of at last?"
