,context,question,generated
0,"THE flax was in full bloom. It had pretty little blue flowers, as delicate as the wings of a moth. The sun shone on it and the showers watered it. This was as good for the flax as it is for little children to be washed and then kissed by their mothers. They look much prettier for it, and so did the flax. ""People say that I look exceedingly well,"" said the flax, ""and that I am so fine and long that I shall make a beautiful piece of linen. How fortunate I am! It makes me so happy to know that something can be made of me. How the sunshine cheers me, and how sweet and refreshing is the rain! My happiness overpowers me! No one in the world can feel happier than I.""",What color are the flax's flowers?,"What are the flowers like?, What does the sun do to the flax?, How does the flax feel about being able to make linen?"
1,"THE flax was in full bloom. It had pretty little blue flowers, as delicate as the wings of a moth. The sun shone on it and the showers watered it. This was as good for the flax as it is for little children to be washed and then kissed by their mothers. They look much prettier for it, and so did the flax. ""People say that I look exceedingly well,"" said the flax, ""and that I am so fine and long that I shall make a beautiful piece of linen. How fortunate I am! It makes me so happy to know that something can be made of me. How the sunshine cheers me, and how sweet and refreshing is the rain! My happiness overpowers me! No one in the world can feel happier than I.""",What made the flax look prettier?,"What are the flowers like?, What does the sun do to the flax?, How does the flax feel about being able to make linen?"
2,"THE flax was in full bloom. It had pretty little blue flowers, as delicate as the wings of a moth. The sun shone on it and the showers watered it. This was as good for the flax as it is for little children to be washed and then kissed by their mothers. They look much prettier for it, and so did the flax. ""People say that I look exceedingly well,"" said the flax, ""and that I am so fine and long that I shall make a beautiful piece of linen. How fortunate I am! It makes me so happy to know that something can be made of me. How the sunshine cheers me, and how sweet and refreshing is the rain! My happiness overpowers me! No one in the world can feel happier than I.""",What will be made from the flax?,"What are the flowers like?, What does the sun do to the flax?, How does the flax feel about being able to make linen?"
3,"THE flax was in full bloom. It had pretty little blue flowers, as delicate as the wings of a moth. The sun shone on it and the showers watered it. This was as good for the flax as it is for little children to be washed and then kissed by their mothers. They look much prettier for it, and so did the flax. ""People say that I look exceedingly well,"" said the flax, ""and that I am so fine and long that I shall make a beautiful piece of linen. How fortunate I am! It makes me so happy to know that something can be made of me. How the sunshine cheers me, and how sweet and refreshing is the rain! My happiness overpowers me! No one in the world can feel happier than I.""",How does the flax feel?,"What are the flowers like?, What does the sun do to the flax?, How does the flax feel about being able to make linen?"
4,"""Ah, yes, no doubt,"" said the fern, ""but you do not know the world yet as well as I do, for my sticks are knotty""; and then it sang quite mournfully:           ""Snip, snap, snurre,            Basse lurre.            The song is ended."" ""No, it is not ended,"" said the flax. ""To-morrow the sun will shine or the rain descend. I feel that I am growing. I feel that I am in full blossom. I am the happiest of all creatures, for I may some day come to something.""",Why does the fern sing mournfully?,"Why does the fern think the flax does not know the world?, What does the flax think will happen the next day?"
5,"Well, one day some people came, who took hold of the flax and pulled it up by the roots, which was very painful. Then it was laid in water, as if it were to be drowned, and after that placed near a fire, as if it were to be roasted. All this was very shocking. ""We cannot expect to be happy always,"" said the flax. ""By experiencing evil as well as good we become wise."" And certainly there was plenty of evil in store for the flax. It was steeped, and roasted, and broken, and combed. Indeed, it scarcely knew what was done to it. At last it was put on the spinning wheel. ""Whir, whir,"" went the wheel, so quickly that the flax could not collect its thoughts. ""Well, I have been very happy,"" it thought in the midst of its pain, ""and must be contented with the past."" And contented it remained, till it was put on the loom and became a beautiful piece of white linen. All the flax, even to the last stalk, was used in making this one piece.",What did the flax think when it was put on the spinning wheel?,"What did the people do to the flax?, How did the flax feel after it experienced evil?, What happened to the flax after it was put on the spinning wheel?, What happened to all the flax?"
6,"Well, one day some people came, who took hold of the flax and pulled it up by the roots, which was very painful. Then it was laid in water, as if it were to be drowned, and after that placed near a fire, as if it were to be roasted. All this was very shocking. ""We cannot expect to be happy always,"" said the flax. ""By experiencing evil as well as good we become wise."" And certainly there was plenty of evil in store for the flax. It was steeped, and roasted, and broken, and combed. Indeed, it scarcely knew what was done to it. At last it was put on the spinning wheel. ""Whir, whir,"" went the wheel, so quickly that the flax could not collect its thoughts. ""Well, I have been very happy,"" it thought in the midst of its pain, ""and must be contented with the past."" And contented it remained, till it was put on the loom and became a beautiful piece of white linen. All the flax, even to the last stalk, was used in making this one piece.",How much of the flax was used to make one piece of linen?,"What did the people do to the flax?, How did the flax feel after it experienced evil?, What happened to the flax after it was put on the spinning wheel?, What happened to all the flax?"
7,"""Well, this is quite wonderful,"" said the flax. ""I could not have believed that I should be so favored by fortune. The fern was not wrong when it sang,          'Snip, snap, snurre,           Basse lurre.'  But the song is not ended yet, I am sure. It is only just beginning. How wonderful it is that, after all I have suffered, I am made something of at last! I am the luckiest person in the world--so strong and fine. And how white and long I am! This is far better than being a mere plant and bearing flowers. Then I had no attention, nor any water unless it rained. Now I am watched and cared for. Every morning the maid turns me over, and I have a shower bath from the watering-pot every evening. Yes, and the clergyman's wife noticed me and said I was the best piece of linen in the whole parish. I cannot be happier than I am now.""",How does the flax feel about being made into linen?,Why was the flax happy?
8,"""Well, this is quite wonderful,"" said the flax. ""I could not have believed that I should be so favored by fortune. The fern was not wrong when it sang,          'Snip, snap, snurre,           Basse lurre.'  But the song is not ended yet, I am sure. It is only just beginning. How wonderful it is that, after all I have suffered, I am made something of at last! I am the luckiest person in the world--so strong and fine. And how white and long I am! This is far better than being a mere plant and bearing flowers. Then I had no attention, nor any water unless it rained. Now I am watched and cared for. Every morning the maid turns me over, and I have a shower bath from the watering-pot every evening. Yes, and the clergyman's wife noticed me and said I was the best piece of linen in the whole parish. I cannot be happier than I am now.""",What does the maid do to the flax every morning?,Why is the flax happy?
9,"""Well, this is quite wonderful,"" said the flax. ""I could not have believed that I should be so favored by fortune. The fern was not wrong when it sang,          'Snip, snap, snurre,           Basse lurre.'  But the song is not ended yet, I am sure. It is only just beginning. How wonderful it is that, after all I have suffered, I am made something of at last! I am the luckiest person in the world--so strong and fine. And how white and long I am! This is far better than being a mere plant and bearing flowers. Then I had no attention, nor any water unless it rained. Now I am watched and cared for. Every morning the maid turns me over, and I have a shower bath from the watering-pot every evening. Yes, and the clergyman's wife noticed me and said I was the best piece of linen in the whole parish. I cannot be happier than I am now.""",What did the clergyman's wife say about the linen?,Why is the flax happy?
10,"After some time the linen was taken into the house, and there cut with the scissors and torn into pieces and then pricked with needles. This certainly was not pleasant, but at last it was made into twelve garments of the kind that everybody wears. ""See now, then,"" said the flax, ""I have become something of importance. This was my destiny. It is quite a blessing. Now I shall be of some use in the world, as every one ought to be. It is the only way to be happy. I am now divided into twelve pieces, and yet the whole dozen is all one and the same. It is most extraordinary good fortune.""",Why was the linen cut into  pieces?,"How was the flax treated after it was taken into the house?, Why was the flax happy with how it was treated?"
